*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Shield_Nefry
*Date=12:05:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.55397;-14.4979;0;Bottom;Via673
2;;;40.887;-27.1621;0;Bottom;TXT5
3;;;5.09397;-39.8981;0;Bottom;Via562
4;;;45.734;-24.6581;0;Bottom;Via216
5;;;25.414;-14.4979;0;Bottom;Via571
6;;;40.887;-19.4086;0;Bottom;TXT5
7;;;7.63397;-14.4979;0;Bottom;Via624
8;;;11.6832;-19.9668;-90;Bottom;TXT4
9;;;17.794;-9.41793;0;Bottom;Via679
10;;;35.574;-11.9579;0;Bottom;Via658
11;;;41.7873;-36.5611;0;Bottom;TXT5
12;;;40.654;-9.41793;0;Bottom;Via682
13;;;10.1737;-34.8183;0;Bottom;Via637
14;;;20.334;-9.41793;0;Bottom;Via579
15;10k;THT;25.4138;-24.6582;180;Bottom;10K
16;;;2.55397;-39.8981;0;Bottom;Via665
17;;;33.034;-14.4979;0;Bottom;Via656
18;;;19.3507;-4.24307;0;Bottom;TXT5
19;;;33.034;-11.9579;0;Bottom;Via654
20;;;25.414;-9.41793;0;Bottom;Via578
21;;;37.9094;-14.4983;0;Bottom;Hole29
22;;;11.2198;-26.6985;0;Bottom;TXT4
23;;;35.574;-42.4381;0;Bottom;Via595
24;;;40.8354;-22.0445;0;Bottom;TXT5
25;;;22.874;-14.4979;0;Bottom;Via565
26;;;7.63397;-24.6581;0;Bottom;Via625
27;;;15.254;-6.87793;0;Bottom;Via686
28;;;15.7646;-14.4983;0;Bottom;Hole31
29;;;45.734;-14.4979;0;Bottom;Via221
30;;;2.55397;-24.6581;0;Bottom;Via677
31;;;5.09397;-22.1181;0;Bottom;Via628
32;;;43.194;-32.2781;0;Bottom;Via222
33;;;35.574;-6.87793;0;Bottom;Via659
34;;;15.254;-9.41793;0;Bottom;Via685
35;;;5.09397;-4.33793;0;Bottom;Via635
36;;;27.954;-6.87793;0;Bottom;Via615
37;;;43.194;-29.7381;0;Bottom;Via230
38;;;5.09397;-6.87793;0;Bottom;Via634
39;;THT;7.63383;-38.6282;180;Bottom;J4
40;;;40.9387;-24.6291;0;Bottom;TXT5
41;;;12.6053;-8.22237;90;Bottom;TXT5
42;;;22.874;-9.41793;0;Bottom;Via577
43;;;18.1293;-23.1407;90;Bottom;TXT5
44;;;45.734;-17.0381;0;Bottom;Via219
45;;;27.954;-11.9579;0;Bottom;Via576
46;;;37.6321;-35.5762;0;Bottom;Hole30
47;;;2.55397;-19.5781;0;Bottom;Via675
48;;;20.334;-34.8181;0;Bottom;Via247
49;;;45.734;-19.5781;0;Bottom;Via218
