*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=relayLED
*Date=16:40:33
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;20.2802;-34.3308;0;Bottom;Via10
2;;5 mm [THT];75.4537;-57.1701;-90;Bottom;LED6
3;;;10.1202;-8.93071;0;Bottom;Hole89
4;;;50.7601;-57.1907;0;Bottom;Via8
5;;;76.1603;-11.4707;0;Bottom;Hole2
6;;;10.2175;-52.107;0;Bottom;TXT5
7;15k;THT;35.5202;-53.0632;90;Bottom;R4
8;;;73.6202;-21.6307;0;Bottom;Hole39
9;;molex-1x3_lock;4.91324;-44.4907;-90;Bottom;JP3
10;;TO220 [THT];27.9002;-58.7147;0;Bottom;Q1
11;;;71.0802;-31.7907;0;Bottom;Hole43
12;;;73.6202;-77.5107;0;Bottom;Hole64
13;100;THT;49.8077;-41.9507;0;Bottom;R11
14;;;5.04024;-24.1707;0;Bottom;Hole94
15;;;7.58024;-21.6307;0;Bottom;Hole96
16;;;69.0391;-59.3932;0;Bottom;TXT5
17;;;71.0803;-6.39066;0;Bottom;Hole16
18;;;5.04022;-54.6507;0;Bottom;Via1
19;15k;THT;20.2802;-53.0632;90;Bottom;R2(15k)
20;;;10.2061;-54.7067;0;Bottom;TXT5
21;;5 mm [THT];75.4537;-49.5501;-90;Bottom;LED9
22;;;12.6602;-6.39071;0;Bottom;Hole103
23;;TO220 [THT];43.1402;-35.8547;0;Bottom;Q5
24;;TO220 [THT];58.3802;-12.9947;0;Bottom;Q9
25;15k;THT;50.7602;-7.34321;90;Bottom;R18
26;;;73.6202;-14.0107;0;Bottom;Hole31
27;;5 mm [THT];75.4537;-64.7901;-90;Bottom;LED3
28;;;68.5403;-3.85066;0;Bottom;Hole20
29;;;12.6602;-41.9508;0;Bottom;Via11
30;;5 mm [THT];75.4537;-62.2501;-90;Bottom;LED4
31;;;73.6202;-29.2507;0;Bottom;Hole58
32;;5 mm [THT];75.4537;-52.0901;-90;Bottom;LED8
33;;;20.2802;-11.4708;0;Bottom;Via21
34;;;71.0803;-8.93066;0;Bottom;Hole8
35;15k;THT;50.7602;-53.0632;90;Bottom;R6
36;;;5.04024;-19.0907;0;Bottom;Hole86
37;;;10.1638;-46.9545;0;Bottom;TXT5
38;;;76.1602;-24.1707;0;Bottom;Hole48
39;;;25.2285;-32.0008;0;Bottom;TXT5
40;;;10.1638;-41.634;0;Bottom;TXT5
41;;;50.7601;-34.3308;0;Bottom;Via14
42;100;THT;49.8077;-19.0907;0;Bottom;R17
43;;molex-1x3_lock;4.91324;-36.8707;-90;Bottom;JP4
44;;;7.58024;-16.5507;0;Bottom;Hole82
45;;;5.04024;-16.5507;0;Bottom;Hole74
46;;;5.04024;-26.7107;0;Bottom;Hole98
47;;TO220 [THT];43.1402;-58.7147;0;Bottom;Q2
48;;;7.58024;-3.85071;0;Bottom;Hole77
49;;;71.0802;-14.0107;0;Bottom;Hole30
50;15k;THT;20.2802;-7.34321;90;Bottom;R14
51;;;71.0802;-26.7107;0;Bottom;Hole50
52;;;69.0645;-51.5658;0;Bottom;TXT5
53;;;12.6602;-8.93071;0;Bottom;Hole104
54;;;27.847;-61.0595;0;Bottom;TXT5
55;;;20.2802;-57.1907;0;Bottom;Via2
